Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
zipmedian,Median household by zipcode,Continuous,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,.E,"N/A, non-US country",,,,
,,,.Y,"N/A, data not collected",,,,
arrhytpr,Pre-transplant comorbidity: Arrhythmia,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
cardiapr,Pre-transplant comorbidity: Cardiac,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
cvapr,Pre-transplant comorbidity: Cerebrovascular disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
diabetpr,Pre-transplant comorbidity: Diabetes,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hvalvepr,Pre-transplant comorbidity: Heart valve disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hepmilpr,"Pre-transplant comorbidity: Hepatic, mild",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hepsevpr,"Pre-transplant comorbidity: Hepatic, moderate / severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
infectpr,Pre-transplant comorbidity: Infection,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
bowelpr,Pre-transplant comorbidity: Inflammatory bowel disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
obesitpr,Pre-transplant comorbidity: Obesity,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
pudpr,Pre-transplant comorbidity: Peptic ulcer,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
psychipr,Pre-transplant comorbidity: Psychiatric disturbance,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
dlco66pr,"Pre-transplant comorbidity: Pulmonary, moderate",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
dlco65pr,"Pre-transplant comorbidity: Pulmonary, severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
renalpr,"Pre-transplant comorbidity: Renal, moderate / severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
rheumapr,Pre-transplant comorbidity: Rheumatologic,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
bmi,Body mass index (BMI),Continuous,.A,Missing,Pre-Transplant Variable,Yes,increased weight can increase inflammation,"124, 125"
mrdpr,MRD at time of HCT (AML/ALL),Categorical,.A,Missing,,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
alktotind_crf,Number of induction lines,Categorical,.A,Missing,Pre-Transplant Variable,Possible,increased number of chemotherapies increase risk,
,,,.X,"N/A, TED track",,,,
,,,1,1,,,,
,,,2,2,,,,
,,,3,3,,,,
,,,4,4,,,,
,,,5,5,,,,
,,,6,6,,,,
alktotcns_crf,Number of consolidation lines,Categorical,.A,Missing,Pre-Transplant Variable,Possible,increased number of chemotherapies increase risk,
,,,.X,"N/A, TED track",,,,
,,,1,1,,,,
,,,2,2,,,,
,,,3,3,,,,
,,,4,4,,,,
cd34sel,CD34 selected,Categorical,.A,Missing,Pre-Transplant Variable,Yes,reduces gvhd risk,742
,,,0,No,,,,
,,,1,Yes,,,,
frzprd,Product was cryopreserved,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvdfbh1,Liver toxicity prophylaxis: Defibrotide,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvnach1,Liver toxicity prophylaxis: N-acetylcysteine,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvtpah1,Liver toxicity prophylaxis: Tissue plasminogen activator (TPA),Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvursh1,Liver toxicity prophylaxis: Ursodiol,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvorxh1,Liver toxicity prophylaxis: Other therapy,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pamoxih1,Infection prophylaxis: Amoxicillin clavulanate oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pomnich1,Infection prophylaxis: Cefdinir oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pvantih1,Infection prophylaxis: Cefpodoxime oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pciproh1,Infection prophylaxis: Ciprofloxacin IV or oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pertaph1,Infection prophylaxis: Ertapenem IV,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plevaqh1,Infection prophylaxis: Levofloxacin IV or oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
paveloh1,Infection prophylaxis: Moxifloxacin IV or oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pvancoh1,Infection prophylaxis: Vancomycin IV,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
poantbh1,Infection prophylaxis: Other antibacterial drug,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
kps,Karnofsky score,Categorical,0,<90,Pre-Transplant Variable,Possible,Lower performance status,
,,,1,>=90,,,,
,,,99,Missing,,,,
yeartx,Year of HCT,Continuous,,,Pre-Transplant Variable,Possible,Changes in treatment over years,
a_grp_gvh_1,Grouping of HLA-A mismatches in GvH Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
b_grp_gvh_1,Grouping of HLA-B mismatches in GvH Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
c_grp_gvh_1,Grouping of HLA-C mismatches in GvH Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
drb1_grp_gvh_1,Grouping of HLA-DRB1 mismatches in GvH Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
a_grp_hvg_1,Grouping of HLA-A mismatches in HvG Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
b_grp_hvg_1,Grouping of HLA-B mismatches in HvG Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
c_grp_hvg_1,Grouping of HLA-C mismatches in HvG Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
drb1_grp_hvg_1,Grouping of HLA-DRB1 mismatches in HvG Direction (1st donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
a_grp_gvh_2,Grouping of HLA-A mismatches in GvH Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
b_grp_gvh_2,Grouping of HLA-B mismatches in GvH Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
c_grp_gvh_2,Grouping of HLA-C mismatches in GvH Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
drb1_grp_gvh_2,Grouping of HLA-DRB1 mismatches in GvH Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
a_grp_hvg_2,Grouping of HLA-A mismatches in HvG Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
b_grp_hvg_2,Grouping of HLA-B mismatches in HvG Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
c_grp_hvg_2,Grouping of HLA-C mismatches in HvG Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
drb1_grp_hvg_2,Grouping of HLA-DRB1 mismatches in HvG Direction (2nd donor),Categorical,1,Fully allele matched,Pre-Transplant Variable,Yes,HLA impacts graft versus host,"558, 703"
,,,2,One allele mismatch,,,,
,,,3,Two allele-level mismatches,,,,
,,,4,One antigen mismatch,,,,
,,,5,One antigen and one allele mismatch,,,,
,,,6,Two antigen-level mismatches,,,,
,,,.A,Missing,,,,
,,,.B,Single donor only,,,,
grpcod,Cause of death,Categorical,0,Alive,Outcome Variable,N/A,,
,,,1,Primary disease,,,,
,,,2,Graft failure,,,,
,,,3,GVHD,,,,
,,,4,Infection,,,,
,,,5,IPn/ARDS,,,,
,,,6,Organ failure,,,,
,,,7,Secondary malignancy,,,,
,,,8,Other cause,,,,
,,,.A,Missing,,,,
pacycvh1,Viral prophylaxis: Acyclovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pvalcyh1,Viral prophylaxis: Valacyclovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pfamvih1,Viral prophylaxis: Famciclovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pgancih1,Viral prophylaxis: Ganciclovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pvalgah1,Viral prophylaxis: Valganciclovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pcmx00h1,Viral prophylaxis: Brincidofovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
paic24h1,Viral prophylaxis: Letermovir,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
poantvh1,Viral prophylaxis: Other,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
cgvhd_is,Chronic GVHD requiring immune suppression,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
intxmaxagvhd,"Time from HCT to acute GVHD (maximum grade), months",Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,"N/A, data not collected prior to 2017",,,,
chiskin,Chronic GVHD evaluated by biopsy - skin,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
chislgi,Chronic GVHD evaluated by biopsy - lower GI,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
chisugi,Chronic GVHD evaluated by biopsy - upper GI,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
chisliv,Chronic GVHD evaluated by biopsy - liver,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
chislung,Chronic GVHD evaluated by biopsy - lung,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
chisoth,Chronic GVHD evaluated by biopsy - other,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
ctbili_dx,Total serum bilirubin at diagnosis of cGVHD (mg/dl),Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,No chronic GVHD,,,,
,,,.C,"N/A, data not collected prior to 2017",,,,
precondsp,Predisposing condition for AML,Categorical,0,None,Pre-Transplant Variable,No,,
,,,1,Fanconi anemia,,,,
,,,2,Bloom syndrome,,,,
,,,3,Down syndrome,,,,
,,,4,Aplastic anemia,,,,
,,,5,Neurofibromatosis type 1,,,,
,,,6,Dyskeratosis congenita,,,,
,,,7,Other condition,,,,
,,,.A,Missing,,,,
intrtendtx,Time from last chemotherapy to HCT (weeks),Continuous,.A,Missing,Pre-Transplant Variable,Possible,Decreased time and closeness to chemotherapy increases risk,
mob_gcsf,Donor received G-CSF,Categorical,0,No,Pre-Transplant Variable,Possible,Mobilization agents increase the risk,"634, 717"
,,,1,Yes,,,,
,,,2,"N/A, NMDP donor",,,,
,,,3,"N/A, cord blood",,,,
,,,.A,Missing,,,,
mob_pgcsf,Donor received pegylated G-CSF,Categorical,0,No,Pre-Transplant Variable,Possible,Mobilization agents increase the risk,"634, 717"
,,,1,Yes,,,,
,,,2,"N/A, NMDP donor",,,,
,,,3,"N/A, cord blood",,,,
,,,.A,Missing,,,,
mob_gmcsf,Donor received GM-CSF,Categorical,0,No,Pre-Transplant Variable,Possible,Mobilization agents increase the risk,"634, 717"
,,,1,Yes,,,,
,,,2,"N/A, NMDP donor",,,,
,,,3,"N/A, cord blood",,,,
,,,.A,Missing,,,,
mob_plrix,Donor received plerixafor,Categorical,0,No,Pre-Transplant Variable,Possible,Mobilization agents increase the risk,"634, 717"
,,,1,Yes,,,,
,,,2,"N/A, NMDP donor",,,,
,,,3,"N/A, cord blood",,,,
,,,.A,Missing,,,,
mob_goth,Donor received other growth/mobilizing factor,Categorical,0,No,Pre-Transplant Variable,Possible,Mobilization agents increase the risk,"634, 717"
,,,1,Yes,,,,
,,,2,"N/A, NMDP donor",,,,
,,,3,"N/A, cord blood",,,,
,,,.A,Missing,,,,
intrath,Received pre-HCT intrathecal therapy,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prvvidhi2,Post-HCT maintenance therapy: azacytidine,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prvdechi2,Post-HCT maintenance therapy: decitabine,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prithi2,Post-HCT maintenance therapy: intrathecal therapy,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prvmidohi2,Post-HCT maintenance therapy: midostaurin,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prvsorhi2,Post-HCT maintenance therapy: sorafenib,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
prvitohi2,Post-HCT maintenance therapy: other,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
intxpostmtn,Time from HCT to start of maintenance therapy (months),Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,"N/A, data not collected prior to 2017",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
